학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000001943,서울아현초등학교,초등학교,1932-04-02,공립,본교,운영,서울특별시 마포구 아현동 267-2,서울특별시 마포구 굴레방로 6,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.55542287,126.9565385,2021-03-25
B000011557,황지정보산업고등학교,고등학교,1972-12-26,공립,본교,운영,강원도 태백시 황지동 59-2,강원도 태백시 문화로1길 1,7800000,강원도교육청,7851000,강원도태백교육지원청,2013-11-29,2020-09-22,37.16833769,128.9880612,2021-03-25
B000010349,고산중학교,중학교,1952-06-10,공립,본교,운영,전라북도 완주군 고산면 읍내리 744-1,전라북도 완주군 고산면 읍내3길 41,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2020-09-22,35.97809735,127.2084707,2021-03-25
B000008229,재현중학교,중학교,1971-03-03,사립,본교,운영,서울특별시 노원구 중계동 129-2,서울특별시 노원구 덕릉로82길 64,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.66126447,127.0809389,2021-03-25
B000005979,전주서일초등학교,초등학교,1999-06-01,공립,본교,운영,전라북도 전주시 완산구 서신동 960-4,전라북도 전주시 완산구 새터로 73,8320000,전라북도교육청,8331000,전라북도전주교육지원청,2013-11-29,2020-09-22,35.83607688,127.1149856,2021-03-25
B000011228,샛별중학교,중학교,1981-03-01,사립,본교,운영,경상남도 거창군 거창읍 중앙리 475,경상남도 거창군 거창읍 죽전4길 92,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2020-09-22,35.69418451,127.9110726,2021-03-25
B000002747,대구송정초등학교,초등학교,1948-12-05,공립,본교,운영,대구광역시 동구 괴전동 169,대구광역시 동구 안심로90길 9,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-22,35.87049976,128.7337374,2021-03-25
B000002745,대구해서초등학교,초등학교,1949-04-01,공립,본교,운영,대구광역시 동구 봉무동 1571,대구광역시 동구 팔공로 220-4,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-22,35.91784593,128.6427087,2021-03-25
B000013559,북일고등학교,고등학교,1976-03-06,사립,본교,운영,충청남도 천안시 동남구 신부동 245,충청남도 천안시 동남구 단대로 69,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2020-09-22,36.831377,127.1576893,2021-03-25
B000024305,소담초등학교,초등학교,2016-05-01,공립,본교,운영,세종특별자치시 소담동 9-198,세종특별자치시 소담1로 35,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2020-09-22,36.4833221,127.3020014,2021-03-25
B000009815,서석중학교,중학교,1952-05-26,공립,본교,운영,강원도 홍천군 서석면 풍암리 269-1,강원도 홍천군 서석면 구룡령로 2570,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2020-09-22,37.70988632,128.1896976,2021-03-25
B000003440,대전둔산초등학교,초등학교,1995-05-30,공립,본교,운영,대전광역시 서구 둔산동 1205,대전광역시 서구 둔산로74번길 20,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2020-09-22,36.3498863,127.3813371,2021-03-25
